Folder|Nota Dinas|Title / Subject|Tanggal Terima
050MK05PS-33III2019|050/MK.05/PS-33/III/2019|FW: [Nota Dinas] Pemberitahuan RFS Paket Roaming Prepaid Standalone API Digicore pada UMB (Umroh dan Promo Asia Australia) (050/MK.05/PS-33/III/2019)|2019-03-05 17:53:21.787
024IS01IY-04III2019|024/IS.01/IY-04/III/2019|Fwd: [Nota Dinas] Permohonan Migrasi APN Corporate Individual (024/IS.01/IY-04/III/2019)|2019-03-05 18:03:25.946
052MK05PS-33III2019|052/MK.05/PS-33/III/2019|FW: [Nota Dinas] Pemberitahuan RFS Paket Halo Kick HVC Bank 300K (OMSKe1Th2019) (052/MK.05/PS-33/III/2019)|2019-03-05 18:03:26.091
049MK05PS-33III2019|049/MK.05/PS-33/III/2019|FW: [Nota Dinas] Pemberitahuan RFS Paket Roaming Prepaid Standalone API Digicore pada UMB (Promo Eropa Amerika, Asia Reguler, Eropa Reguler, Amerika Afrika, dan Haji) (049/MK.05/PS-33/III/2019)|2019-03-05 19:05:36.625
0234MK05PS-05III2019|0234/MK.05/PS-05/III/2019|FW: [Nota Dinas] Status Kesiapan Komersial (RFC) Produk Premium Bundling MD Pictures (Postpaid) (0234/MK.05/PS-05/III/2019)|2019-03-06 09:26:22.432
053MK05PS-33III2019|053/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFS Paket BUMN Sunday Sale (OMSKe4Th2019) (053/MK.05/PS-33/III/2019)|2019-03-06 19:36:01.402
0236MK05PS-05III2019|0236/MK.05/PS-05/III/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Fitur Prepaid2Postpaid TDW (0236/MK.05/PS-05/III/2019)|2019-03-06 19:36:02.458
038MK05PS-03III2019|038/MK.05/PS-03/III/2019|[Nota Dinas] Implementasi Roaming Standalone Prepaid (Promo Asia Australia dan Umroh) Ph1 (038/MK.05/PS-03/III/2019)|2019-03-08 09:47:05.827
054MK05PS-33III2019|054/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Paket Roaming Postpaid Standalone pada Sistem Digicore (Umroh, Promo Asia Australia, Promo Eropa Amerika, Asia Reguler, Eropa Reguler, Amerika Afrika, dan Haji) (054/MK.05/PS-33/III/2019)|2019-03-08 09:48:56.324
031MK05PS-37III2019|031/MK.05/PS-37/III/2019|[Nota Dinas] PPemberitahuan RFS Surprise Deal Postpaid Maret 2019 (UMB) (031/MK.05/PS-37/III/2019)|2019-03-08 14:12:48.978
057MK05PS-33III2019|057/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan Revisi RFS Paket BUMN Sunday Sale (OMSKe4Th2019) (057/MK.05/PS-33/III/2019)|2019-03-11 08:34:39.575
056MK05PS-33III2019|056/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan Revisi RFS Paket BUMN Sunday Sale dan Release Digicore (OMSKe4Th2019) (056/MK.05/PS-33/III/2019)|2019-03-11 08:34:39.766
055MK05PS-33III2019|055/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFS Paket BUMN Sunday Sale dan Release Digicore (OMSKe4Th2019) (055/MK.05/PS-33/III/2019)|2019-03-11 08:34:39.868
032MK05PS-37III2019|032/MK.05/PS-37/III/2019|[Nota Dinas] Pemberitahuan RFS Weekend Deal BUMN 15GB Postpaid Maret 2019 (032/MK.05/PS-37/III/2019)|2019-03-11 08:34:39.964
